scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,80,65.522,34.57228460000624,None,,,,,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,0,0,15,,,,,83,30.69,102.33558800000174,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,1,1,0,,,,,0,10.862,133.13329880000674,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario15,scenario_15.jpg,iCub rileva facimente gli oggetti con uno schermo.,iCub è incuriosito dalla tecnologia digitale.,,,M,I,,,,,0,2,2,7,,,,,0,13.162,144.11653480000678,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario20,scenario_20.jpg,iCub muove la testa verso I maglioni dai colori luminosi.,iCub è sorpreso che ci sia una persona nuova.,,,M,I,,,,,0,3,3,26,,,,,72,18.978,157.40074160000222,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,4,4,17,,,,,30,26.347,176.4916763000001,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,5,5,21,,,,,0,14.761,202.96169070000178,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario13,scenario_13.jpg,iCub vuole disegnare qualcosa.,iCub ottimizza la presa sugli oggetti piccoli.,,,I,M,,,,,0,6,6,22,,,,,76,11.13,217.8462811999998,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,7,7,12,,,,,40,18.919,229.08957240000018,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario21,scenario_21.jpg,iCub pensa che le ragazze abbiano bisogno di cibo sano.,iCub può afferrare le arance più facilmente della torta.,,,I,M,,,,,0,8,8,10,,,,,69,21.72,248.1280437000023,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
