"Blockno","Pause","RunBlock","Session","Site","TRIAL_VALID","USE_FACELANDMARKS","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","closing_eyes_invalid","color_backend","compensation","condTrig","coordinates","correct","correct_instructions","correct_response","count_CONDITIONS","count_CONFIG","count_LongBreak","count_LongBreak_1","count_RespTrig","count_RespTrig_1","count_RespTrig_1_1","count_RespTrig_1_2","count_RespTrig_2","count_RespTrig_3","count_StimPress","count_StimPress_1","count_StimPress_2","count_afterR","count_afterR_1","count_afterR_2","count_block_loop","count_block_loop_1","count_block_loop_2","count_block_sequence","count_block_sequence_1","count_block_sequence_2","count_blockno","count_blockno_1","count_check_res","count_check_res_1","count_check_res_2","count_end_of_experiment","count_experiment","count_experimental_loop_B","count_experimental_loop_post","count_experimental_loop_pre","count_feedback","count_feedback_1","count_feedback_2","count_fix","count_fix_1","count_fix_2","count_iKinGazeCtrl_CONFIG","count_icub_avoiding_gaze","count_icub_avoiding_gaze_1","count_icub_avoiding_gaze_2","count_icub_close_eyes","count_icub_close_eyes_1","count_icub_close_eyes_2","count_icub_end","count_icub_findLandmarks","count_icub_findLandmarks_1","count_icub_findLandmarks_2","count_icub_helper","count_icub_look_left","count_icub_look_left_1","count_icub_look_left_2","count_icub_look_right","count_icub_look_right_1","count_icub_look_right_2","count_icub_mutual_gaze","count_icub_mutual_gaze_1","count_icub_mutual_gaze_2","count_icub_open_eyes","count_icub_open_eyes_1","count_icub_open_eyes_2","count_icub_waitmutual_gaze","count_icub_waitmutual_gaze_1","count_icub_waitmutual_gaze_2","count_instructions","count_logger","count_logger_1","count_logger_2","count_new_form_multiple_choice","count_new_inline_script","count_notes","count_reset_feedback","count_reset_feedback_1","count_reset_feedback_2","count_session","count_site","count_start","count_start_1","count_start_2","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","count_trial_start","count_trial_start_1","count_trial_start_2","count_wait_soa","count_wait_soa_1","count_wait_soa_2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gazeCond","gazeDirO","gazeDirR","gazeDirTrig","height","icub_closing_eyes","icub_frontal_angles","icub_frontal_gaze_duration","icub_lateral_gaze_duration","icub_opening_eyes","keyboard_backend","landmarks","landmarks_valid","letterCode","letterL","letterR","live_row","live_row_block_loop","live_row_experimental_loop_pre","logfile","mouse_backend","opening_eyes_invalid","opensesame_codename","opensesame_version","repeat_cycle","response","response_LongBreak","response_LongBreak_1","response_end_of_experiment","response_feedback","response_feedback_1","response_feedback_2","response_instructions","response_time","response_time_LongBreak","response_time_LongBreak_1","response_time_end_of_experiment","response_time_feedback","response_time_feedback_1","response_time_feedback_2","response_time_instructions","round_decimals","sampler_backend","soa","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_time","stim_presentation_after","subject_nr","subject_parity","tgtPos","tgtPosCode","tgtTrig","time_CONDITIONS","time_CONFIG","time_LongBreak","time_LongBreak_1","time_RespTrig","time_RespTrig_1","time_RespTrig_1_1","time_RespTrig_1_2","time_RespTrig_2","time_RespTrig_3","time_StimPress","time_StimPress_1","time_StimPress_2","time_afterR","time_afterR_1","time_afterR_2","time_avoiding_gaze","time_block_loop","time_block_loop_1","time_block_loop_2","time_block_sequence","time_block_sequence_1","time_block_sequence_2","time_blockno","time_blockno_1","time_check_res","time_check_res_1","time_check_res_2","time_closing_eyes","time_end_of_experiment","time_experiment","time_experimental_loop_B","time_experimental_loop_post","time_experimental_loop_pre","time_feedback","time_feedback_1","time_feedback_2","time_fix","time_fix_1","time_fix_2","time_iKinGazeCtrl_CONFIG","time_icub_avoiding_gaze","time_icub_avoiding_gaze_1","time_icub_avoiding_gaze_2","time_icub_close_eyes","time_icub_close_eyes_1","time_icub_close_eyes_2","time_icub_end","time_icub_findLandmarks","time_icub_findLandmarks_1","time_icub_findLandmarks_2","time_icub_helper","time_icub_look_left","time_icub_look_left_1","time_icub_look_left_2","time_icub_look_right","time_icub_look_right_1","time_icub_look_right_2","time_icub_mutual_gaze","time_icub_mutual_gaze_1","time_icub_mutual_gaze_2","time_icub_open_eyes","time_icub_open_eyes_1","time_icub_open_eyes_2","time_icub_waitmutual_gaze","time_icub_waitmutual_gaze_1","time_icub_waitmutual_gaze_2","time_instructions","time_logger","time_logger_1","time_logger_2","time_mutual_gaze","time_new_form_multiple_choice","time_new_inline_script","time_notes","time_opening_eyes","time_reset_feedback","time_reset_feedback_1","time_reset_feedback_2","time_session","time_site","time_start","time_start_1","time_start_2","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","time_trial_start","time_trial_start_1","time_trial_start_2","time_wait_soa","time_wait_soa_1","time_wait_soa_2","title","total_correct","total_response_time","total_responses","trial_start_ts","uniform_coordinates","valTrig","validity","width"
"1","NA","1","1","TPJ","1","0","100","100","1170","1170","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","0","0","NA","NA","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.06953000067733","[0.008211182957137946, -0.01444741259443463, 3.4973602137371964]","257.00035199952254","459.60571500108927","480.18777099969157","legacy","None","0","1","T","","0","0","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","1170","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","21033","5929","13","odd","left","1","51","14813","8642","NA","NA","21033","21233","NA","NA","NA","NA","21032","NA","NA","21233","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","22203","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","15117","NA","NA","14813","NA","NA","NA","15117","NA","NA","NA","17616","NA","NA","8642","19874","NA","NA","NA","NA","NA","17616","NA","NA","17117","NA","NA","17874","NA","NA","8866","22204","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","15112","NA","NA","15104","NA","NA","15104","NA","NA","20011","NA","NA","Extended template","1","1170","1","15104","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","804.5","804.5","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","NA","NA","0","NA","NA","0","NA","NA","0","NA","1","NA","NA","0","0","NA","NA","0","NA","NA","NA","1","NA","NA","0","1","NA","NA","1","NA","NA","0","1","NA","NA","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","0","1","NA","NA","NA","NA","0","0","NA","NA","0","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.09794499803684","[0.007963280205644428, -0.06678940075285489, 3.497797777382883]","267.2220799995557","480.81190199991397","469.49418099939066","legacy","None","0","1","T","","1","1","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","439","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","28501","5947","13","odd","left","1","51","14813","8642","NA","NA","28501","28701","NA","NA","NA","NA","28500","NA","NA","28701","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","28940","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","22565","NA","NA","14813","NA","NA","NA","22566","NA","NA","NA","25064","NA","NA","8642","19874","NA","NA","27332","NA","NA","25064","NA","NA","24565","NA","NA","25332","NA","NA","8866","28941","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","22560","NA","NA","22554","NA","NA","22554","NA","NA","27480","NA","NA","Extended template","2","1609","2","22554","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","677.3333333333334","677.3333333333334","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","NA","0","NA","NA","0","NA","NA","0","NA","2","NA","NA","0","0","NA","NA","0","NA","NA","NA","2","NA","NA","0","2","NA","NA","2","NA","NA","0","2","NA","NA","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","0","2","NA","NA","NA","NA","0","0","NA","NA","0","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.2881420007034","[0.015558629847617217, 0.09176159564050725, 3.4978011125122745]","308.2936420014448","459.7797469996294","458.96490499944775","legacy","None","0","1","T","","2","2","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","423","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","35220","5969","13","odd","left","1","51","14813","8642","NA","NA","35220","35420","NA","NA","NA","NA","35220","NA","NA","35420","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","35644","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","29261","NA","NA","14813","NA","NA","NA","29262","NA","NA","NA","31761","NA","NA","8642","19874","NA","NA","34070","NA","NA","31761","NA","NA","31261","NA","NA","32069","NA","NA","8866","35644","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","29256","NA","NA","29251","NA","NA","29251","NA","NA","34198","NA","NA","Extended template","3","2032","3","29251","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","598.75","598.75","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","3","3","NA","NA","NA","NA","3","NA","NA","3","NA","NA","0","NA","NA","0","NA","NA","0","NA","3","NA","NA","0","0","NA","NA","0","NA","NA","NA","3","NA","NA","0","3","NA","NA","3","NA","NA","0","3","NA","NA","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","0","3","NA","NA","NA","NA","0","0","NA","NA","0","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","500.87743299991416","[0.02292516763622617, 0.0097876463800483, 3.4973606261178025]","277.3158459986007","449.9443999993673","469.07772500162537","legacy","None","0","2","","V","3","3","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","363","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","41880","5936","13","odd","right","2","62","14813","8642","NA","NA","41880","42080","NA","NA","NA","NA","41879","NA","NA","42080","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","42243","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","35955","NA","NA","14813","NA","NA","NA","35955","NA","NA","NA","38452","NA","NA","8642","19874","NA","NA","40730","NA","NA","38452","NA","NA","37954","NA","NA","38729","NA","NA","8866","42244","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","35950","NA","NA","35944","NA","NA","35944","NA","NA","40858","NA","NA","Extended template","4","2395","4","35944","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","538","538","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","4","4","NA","NA","NA","NA","4","NA","NA","4","NA","NA","0","NA","NA","0","NA","NA","0","NA","4","NA","NA","0","0","NA","NA","0","NA","NA","NA","4","NA","NA","0","4","NA","NA","4","NA","NA","0","4","NA","NA","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","0","4","NA","NA","NA","NA","0","0","NA","NA","0","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.1670359999698","[0.02316017648064405, 0.058810116548804026, 3.497361894282836]","277.74573100032285","459.97830899978","470.3706330001296","legacy","None","0","2","V","","4","4","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","295","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","48477","5946","13","odd","left","1","61","14813","8642","NA","NA","48477","48677","NA","NA","NA","NA","48476","NA","NA","48677","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","48773","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","42541","NA","NA","14813","NA","NA","NA","42542","NA","NA","NA","45040","NA","NA","8642","47318","NA","NA","40730","NA","NA","45040","NA","NA","44541","NA","NA","45318","NA","NA","8866","48773","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","42536","NA","NA","42531","NA","NA","42531","NA","NA","47456","NA","NA","Extended template","5","2690","5","42531","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","514.5","514.5","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","NA","0","NA","NA","0","NA","NA","0","NA","5","NA","NA","0","0","NA","NA","0","NA","NA","NA","5","NA","NA","0","5","NA","NA","5","NA","NA","0","5","NA","NA","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","0","5","NA","NA","NA","NA","0","0","NA","NA","0","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.25129299885884","[0.008236120435875221, 3.2379759175109476e-06, 3.4973605877285228]","297.78497199913545","439.64760299968475","469.21421399929386","legacy","None","0","2","","V","5","5","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","397","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","55022","5956","13","odd","right","2","62","14813","8642","NA","NA","55022","55223","NA","NA","NA","NA","55022","NA","NA","55223","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","55419","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","49077","NA","NA","14813","NA","NA","NA","49077","NA","NA","NA","51576","NA","NA","8642","47318","NA","NA","53875","NA","NA","51576","NA","NA","51077","NA","NA","51875","NA","NA","8866","55420","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","49072","NA","NA","49066","NA","NA","49066","NA","NA","54001","NA","NA","Extended template","6","3087","6","49066","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","85.71428571428571","85.71428571428571","477.2857142857143","477.2857142857143","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","0","undefined","t","0","0","NA","NA","6","6","NA","NA","NA","NA","6","NA","NA","6","NA","NA","0","NA","NA","0","NA","NA","0","NA","6","NA","NA","0","0","NA","NA","0","NA","NA","NA","6","NA","NA","0","6","NA","NA","6","NA","NA","0","6","NA","NA","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","0","6","NA","NA","NA","NA","0","0","NA","NA","0","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.18159299927356","[0.015260697884289005, 0.00036903622891325006, 3.4977991422860666]","287.7805320003972","470.5133570005273","459.0510030011501","legacy","None","0","1","T","","6","6","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","254","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","61678","5957","13","odd","left","1","51","14813","8642","NA","NA","61678","61878","NA","NA","NA","NA","61677","NA","NA","61878","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","61933","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","55732","NA","NA","14813","NA","NA","NA","55732","NA","NA","NA","58230","NA","NA","8642","60518","NA","NA","53875","NA","NA","58230","NA","NA","57731","NA","NA","58518","NA","NA","8866","61933","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","55726","NA","NA","55721","NA","NA","55721","NA","NA","60656","NA","NA","Extended template","6","3341","7","55721","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","87.5","87.5","454.875","454.875","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","7","7","NA","NA","NA","NA","7","NA","NA","7","NA","NA","0","NA","NA","0","NA","NA","0","NA","7","NA","NA","0","0","NA","NA","0","NA","NA","NA","7","NA","NA","0","7","NA","NA","7","NA","NA","0","7","NA","NA","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","0","7","NA","NA","NA","NA","0","0","NA","NA","0","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.0526349997235","[0.015259379331311171, -3.5462787336110005e-05, 3.4977991335785963]","287.28138000042236","470.73469900169584","470.27338500083715","legacy","None","0","1","","T","7","7","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","298","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","68169","5940","13","odd","right","2","52","14813","8642","NA","NA","68169","68369","NA","NA","NA","NA","68169","NA","NA","68369","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","68467","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","62240","NA","NA","14813","NA","NA","NA","62240","NA","NA","NA","64738","NA","NA","8642","60518","NA","NA","67026","NA","NA","64738","NA","NA","64239","NA","NA","65026","NA","NA","8866","68468","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","62235","NA","NA","62229","NA","NA","62229","NA","NA","67164","NA","NA","Extended template","7","3639","8","62229","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","88.88888888888889","88.88888888888889","445.8888888888889","445.8888888888889","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","8","8","NA","NA","NA","NA","8","NA","NA","8","NA","NA","0","NA","NA","0","NA","NA","0","NA","8","NA","NA","0","0","NA","NA","0","NA","NA","NA","8","NA","NA","0","8","NA","NA","8","NA","NA","0","8","NA","NA","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","0","8","NA","NA","NA","NA","0","0","NA","NA","0","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","500.9404180000274","[0.015259639067302424, 4.421772388519934e-05, 3.4977991352936684]","287.8712369983987","460.3779730005044","469.7038300000713","legacy","None","0","1","","T","8","8","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","374","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","74725","5960","13","odd","right","2","52","14813","8642","NA","NA","74725","74926","NA","NA","NA","NA","74725","NA","NA","74926","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","75100","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","68777","NA","NA","14813","NA","NA","NA","68777","NA","NA","NA","71275","NA","NA","8642","73563","NA","NA","67026","NA","NA","71275","NA","NA","70776","NA","NA","71563","NA","NA","8866","75100","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","68771","NA","NA","68765","NA","NA","68765","NA","NA","73701","NA","NA","Extended template","8","4013","9","68765","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","90","90","433.5","433.5","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","9","9","NA","NA","NA","NA","9","NA","NA","9","NA","NA","0","NA","NA","0","NA","NA","0","NA","9","NA","NA","0","0","NA","NA","0","NA","NA","NA","9","NA","NA","0","9","NA","NA","9","NA","NA","0","9","NA","NA","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","0","9","NA","NA","NA","NA","0","0","NA","NA","0","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","Fri Nov 12 09:29:47 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.56375499864225","[0.008214477404581082, -0.012538346563769768, 3.4973602631350795]","297.8287949990772","460.19435200105363","469.9481329989794","legacy","None","0","2","V","","9","9","0","/home/docky/apps/exp/data/session1/subject-13.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","322","NA","NA","NA","NA","NA","NA","5946","2","legacy","1000","1024","2","48000","-16","experiment","81345","5959","13","odd","left","1","61","14813","8642","NA","NA","81345","81545","NA","NA","NA","NA","81344","NA","NA","81545","NA","NA","2000","14838","NA","NA","14838","NA","NA","14838","NA","81668","NA","NA","2000","NA","705","NA","NA","14835","NA","NA","NA","75397","NA","NA","14813","NA","NA","NA","75397","NA","NA","NA","77898","NA","NA","8642","73563","NA","NA","80195","NA","NA","77898","NA","NA","77397","NA","NA","78195","NA","NA","8866","81668","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","75392","NA","NA","75386","NA","NA","75386","NA","NA","80323","NA","NA","Extended template","9","4335","10","75386","yes","41","valid","3840"
