"Blockno","Pause","RunBlock","Session","Site","TRIAL_VALID","USE_FACELANDMARKS","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","closing_eyes_invalid","color_backend","compensation","condTrig","coordinates","correct","correct_instructions","correct_response","count_CONDITIONS","count_CONFIG","count_LongBreak","count_LongBreak_1","count_RespTrig","count_RespTrig_1","count_RespTrig_1_1","count_RespTrig_1_2","count_RespTrig_2","count_RespTrig_3","count_StimPress","count_StimPress_1","count_StimPress_2","count_afterR","count_afterR_1","count_afterR_2","count_block_loop","count_block_loop_1","count_block_loop_2","count_block_sequence","count_block_sequence_1","count_block_sequence_2","count_blockno","count_blockno_1","count_check_res","count_check_res_1","count_check_res_2","count_end_of_experiment","count_experiment","count_experimental_loop_B","count_experimental_loop_post","count_experimental_loop_pre","count_feedback","count_feedback_1","count_feedback_2","count_fix","count_fix_1","count_fix_2","count_iKinGazeCtrl_CONFIG","count_icub_avoiding_gaze","count_icub_avoiding_gaze_1","count_icub_avoiding_gaze_2","count_icub_close_eyes","count_icub_close_eyes_1","count_icub_close_eyes_2","count_icub_end","count_icub_findLandmarks","count_icub_findLandmarks_1","count_icub_findLandmarks_2","count_icub_helper","count_icub_look_left","count_icub_look_left_1","count_icub_look_left_2","count_icub_look_right","count_icub_look_right_1","count_icub_look_right_2","count_icub_mutual_gaze","count_icub_mutual_gaze_1","count_icub_mutual_gaze_2","count_icub_open_eyes","count_icub_open_eyes_1","count_icub_open_eyes_2","count_icub_waitmutual_gaze","count_icub_waitmutual_gaze_1","count_icub_waitmutual_gaze_2","count_instructions","count_logger","count_logger_1","count_logger_2","count_new_form_multiple_choice","count_new_inline_script","count_notes","count_reset_feedback","count_reset_feedback_1","count_reset_feedback_2","count_session","count_site","count_start","count_start_1","count_start_2","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","count_trial_start","count_trial_start_1","count_trial_start_2","count_wait_soa","count_wait_soa_1","count_wait_soa_2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gazeCond","gazeDirO","gazeDirR","gazeDirTrig","height","icub_closing_eyes","icub_frontal_angles","icub_frontal_gaze_duration","icub_lateral_gaze_duration","icub_opening_eyes","keyboard_backend","landmarks","landmarks_valid","letterCode","letterL","letterR","live_row","live_row_block_loop","live_row_experimental_loop_pre","logfile","mouse_backend","opening_eyes_invalid","opensesame_codename","opensesame_version","repeat_cycle","response","response_LongBreak","response_LongBreak_1","response_end_of_experiment","response_feedback","response_feedback_1","response_feedback_2","response_instructions","response_time","response_time_LongBreak","response_time_LongBreak_1","response_time_end_of_experiment","response_time_feedback","response_time_feedback_1","response_time_feedback_2","response_time_instructions","round_decimals","sampler_backend","soa","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_time","stim_presentation_after","subject_nr","subject_parity","tgtPos","tgtPosCode","tgtTrig","time_CONDITIONS","time_CONFIG","time_LongBreak","time_LongBreak_1","time_RespTrig","time_RespTrig_1","time_RespTrig_1_1","time_RespTrig_1_2","time_RespTrig_2","time_RespTrig_3","time_StimPress","time_StimPress_1","time_StimPress_2","time_afterR","time_afterR_1","time_afterR_2","time_avoiding_gaze","time_block_loop","time_block_loop_1","time_block_loop_2","time_block_sequence","time_block_sequence_1","time_block_sequence_2","time_blockno","time_blockno_1","time_check_res","time_check_res_1","time_check_res_2","time_closing_eyes","time_end_of_experiment","time_experiment","time_experimental_loop_B","time_experimental_loop_post","time_experimental_loop_pre","time_feedback","time_feedback_1","time_feedback_2","time_fix","time_fix_1","time_fix_2","time_iKinGazeCtrl_CONFIG","time_icub_avoiding_gaze","time_icub_avoiding_gaze_1","time_icub_avoiding_gaze_2","time_icub_close_eyes","time_icub_close_eyes_1","time_icub_close_eyes_2","time_icub_end","time_icub_findLandmarks","time_icub_findLandmarks_1","time_icub_findLandmarks_2","time_icub_helper","time_icub_look_left","time_icub_look_left_1","time_icub_look_left_2","time_icub_look_right","time_icub_look_right_1","time_icub_look_right_2","time_icub_mutual_gaze","time_icub_mutual_gaze_1","time_icub_mutual_gaze_2","time_icub_open_eyes","time_icub_open_eyes_1","time_icub_open_eyes_2","time_icub_waitmutual_gaze","time_icub_waitmutual_gaze_1","time_icub_waitmutual_gaze_2","time_instructions","time_logger","time_logger_1","time_logger_2","time_mutual_gaze","time_new_form_multiple_choice","time_new_inline_script","time_notes","time_opening_eyes","time_reset_feedback","time_reset_feedback_1","time_reset_feedback_2","time_session","time_site","time_start","time_start_1","time_start_2","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","time_trial_start","time_trial_start_1","time_trial_start_2","time_wait_soa","time_wait_soa_1","time_wait_soa_2","title","total_correct","total_response_time","total_responses","trial_start_ts","uniform_coordinates","valTrig","validity","width"
"1","NA","1","3","SHAM","1","0","100","100","407","407","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","0","0","NA","NA","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","left","right","21","1080","501.2844689999838","[0.09989360071218858, -0.020598621529240194, 3.4977978648724593]","257.43257900012395","501.28297499941255","470.37389400065877","legacy","None","0","2","V","","0","0","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","407","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","790436","5910","14","even","left","1","61","784252","5185","NA","NA","790436","790636","NA","NA","NA","NA","790436","NA","NA","790636","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","790843","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","784537","NA","NA","784252","NA","NA","NA","784537","NA","NA","NA","787035","NA","NA","5185","NA","NA","NA","789293","NA","NA","787035","NA","NA","786536","NA","NA","787293","NA","NA","5514","790844","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","784532","NA","NA","784526","NA","NA","784526","NA","NA","789431","NA","NA","Extended template","1","407","1","784526","yes","41","valid","3840"
"1","NA","1","3","SHAM","1","0","100","100","381","381","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","NA","NA","0","NA","NA","0","NA","NA","0","NA","1","NA","NA","0","0","NA","NA","0","NA","NA","NA","1","NA","NA","0","1","NA","NA","1","NA","NA","0","1","NA","NA","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","0","1","NA","NA","NA","NA","0","0","NA","NA","0","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","right","left","22","1080","501.2688619999608","[0.008182168684904487, -0.03126080160634965, 3.497359778808055]","308.2151220005471","501.29406599990034","479.7580089998519","legacy","None","0","2","V","","1","1","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","355","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","797176","5989","14","even","left","1","61","784252","5185","NA","NA","797176","797376","NA","NA","NA","NA","797176","NA","NA","797376","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","797531","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","791199","NA","NA","784252","NA","NA","NA","791199","NA","NA","NA","793698","NA","NA","5185","796007","NA","NA","789293","NA","NA","793698","NA","NA","793198","NA","NA","794007","NA","NA","5514","797532","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","791194","NA","NA","791187","NA","NA","791187","NA","NA","796155","NA","NA","Extended template","2","762","2","791187","yes","42","invalid","3840"
"1","NA","1","3","SHAM","1","0","100","100","368.3333333333333","368.3333333333333","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","NA","0","NA","NA","0","NA","NA","0","NA","2","NA","NA","0","0","NA","NA","0","NA","NA","NA","2","NA","NA","0","2","NA","NA","2","NA","NA","0","2","NA","NA","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","0","2","NA","NA","NA","NA","0","0","NA","NA","0","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","right","left","22","1080","500.9706400005598","[0.015259370880803718, -3.805519171322173e-05, 3.4977991335225807]","297.6006349999807","490.38065300010203","480.1424799998131","legacy","None","0","2","","V","2","2","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","343","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","803796","5957","14","even","right","2","62","784252","5185","NA","NA","803796","803996","NA","NA","NA","NA","803795","NA","NA","803996","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","804139","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","797850","NA","NA","784252","NA","NA","NA","797850","NA","NA","NA","800349","NA","NA","5185","802647","NA","NA","789293","NA","NA","800349","NA","NA","799850","NA","NA","800647","NA","NA","5514","804140","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","797845","NA","NA","797839","NA","NA","797839","NA","NA","802774","NA","NA","Extended template","3","1105","3","797839","yes","41","valid","3840"
"1","NA","1","3","SHAM","1","0","100","100","381","381","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","3","3","NA","NA","NA","NA","3","NA","NA","3","NA","NA","0","NA","NA","0","NA","NA","0","NA","3","NA","NA","0","0","NA","NA","0","NA","NA","NA","3","NA","NA","0","3","NA","NA","3","NA","NA","0","3","NA","NA","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","0","3","NA","NA","NA","NA","0","0","NA","NA","0","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","right","left","22","1080","501.3620780000565","[0.015259367163866564, -3.919545518701214e-05, 3.497799133498036]","297.92063599961693","490.7294489994456","480.0626200003535","legacy","None","0","2","V","","3","3","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","419","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","810400","5968","14","even","left","1","61","784252","5185","NA","NA","810400","810600","NA","NA","NA","NA","810399","NA","NA","810600","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","810819","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","804443","NA","NA","784252","NA","NA","NA","804443","NA","NA","NA","806943","NA","NA","5185","809240","NA","NA","789293","NA","NA","806943","NA","NA","806443","NA","NA","807240","NA","NA","5514","810820","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","804438","NA","NA","804432","NA","NA","804432","NA","NA","809378","NA","NA","Extended template","4","1524","4","804432","yes","42","invalid","3840"
"1","NA","1","3","SHAM","1","0","100","100","370.6","370.6","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","4","4","NA","NA","NA","NA","4","NA","NA","4","NA","NA","0","NA","NA","0","NA","NA","0","NA","4","NA","NA","0","0","NA","NA","0","NA","NA","NA","4","NA","NA","0","4","NA","NA","4","NA","NA","0","4","NA","NA","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","0","4","NA","NA","NA","NA","0","0","NA","NA","0","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","right","left","22","1080","501.3850570003342","[0.00807493959040816, -0.002083803285962255, 3.4977991699143196]","307.56315699909464","501.1865239994222","480.0426490000973","legacy","None","0","1","","T","4","4","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","329","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","817106","5988","14","even","right","2","52","784252","5185","NA","NA","817106","817306","NA","NA","NA","NA","817106","NA","NA","817306","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","817435","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","811130","NA","NA","784252","NA","NA","NA","811130","NA","NA","NA","813628","NA","NA","5185","815937","NA","NA","789293","NA","NA","813628","NA","NA","813129","NA","NA","813937","NA","NA","5514","817436","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","811124","NA","NA","811118","NA","NA","811118","NA","NA","816084","NA","NA","Extended template","5","1853","5","811118","yes","41","valid","3840"
"1","NA","1","3","SHAM","1","0","83.33333333333333","83.33333333333333","368","368","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","0","undefined","v","0","0","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","NA","0","NA","NA","0","NA","NA","0","NA","5","NA","NA","0","0","NA","NA","0","NA","NA","NA","5","NA","NA","0","5","NA","NA","5","NA","NA","0","5","NA","NA","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","0","5","NA","NA","NA","NA","0","0","NA","NA","0","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","left","right","21","1080","501.5411659987876","[0.015259405702185688, -2.7372861654967678e-05, 3.497799133752747]","297.37018499963597","501.1992489999102","469.9034409995875","legacy","None","0","2","","V","5","5","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","355","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","823712","5969","14","even","right","2","62","784252","5185","NA","NA","823712","823912","NA","NA","NA","NA","823711","NA","NA","823912","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","824067","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","817753","NA","NA","784252","NA","NA","NA","817753","NA","NA","NA","820253","NA","NA","5185","815937","NA","NA","822551","NA","NA","820253","NA","NA","819753","NA","NA","820551","NA","NA","5514","824068","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","817748","NA","NA","817743","NA","NA","817743","NA","NA","822689","NA","NA","Extended template","5","2208","6","817743","yes","42","invalid","3840"
"1","NA","1","3","SHAM","1","0","85.71428571428571","85.71428571428571","381.2857142857143","381.2857142857143","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","6","6","NA","NA","NA","NA","6","NA","NA","6","NA","NA","0","NA","NA","0","NA","NA","0","NA","6","NA","NA","0","0","NA","NA","0","NA","NA","NA","6","NA","NA","0","6","NA","NA","6","NA","NA","0","6","NA","NA","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","0","6","NA","NA","NA","NA","0","0","NA","NA","0","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","left","right","21","1080","500.8376539999517","[-0.08378402143312323, -0.007000868758474814, 3.497799582764579]","297.8299270007483","500.81421899994893","480.09581100086507","legacy","None","0","1","","T","6","6","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","461","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","830326","5958","14","even","right","2","52","784252","5185","NA","NA","830326","830526","NA","NA","NA","NA","830326","NA","NA","830526","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","830787","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","824380","NA","NA","784252","NA","NA","NA","824380","NA","NA","NA","826879","NA","NA","5185","815937","NA","NA","829177","NA","NA","826879","NA","NA","826380","NA","NA","827177","NA","NA","5514","830788","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","824374","NA","NA","824368","NA","NA","824368","NA","NA","829304","NA","NA","Extended template","6","2669","7","824368","yes","42","invalid","3840"
"1","NA","1","3","SHAM","1","0","87.5","87.5","399.375","399.375","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","7","7","NA","NA","NA","NA","7","NA","NA","7","NA","NA","0","NA","NA","0","NA","NA","0","NA","7","NA","NA","0","0","NA","NA","0","NA","NA","NA","7","NA","NA","0","7","NA","NA","7","NA","NA","0","7","NA","NA","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","0","7","NA","NA","NA","NA","0","0","NA","NA","0","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","right","left","22","1080","501.5432589998454","[0.015340803995907185, 0.024943185747105186, 3.4977996715015163]","308.0134990004808","499.66425899947353","479.93017400040117","legacy","None","0","1","T","","7","7","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","526","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","837061","5977","14","even","left","1","51","784252","5185","NA","NA","837061","837261","NA","NA","NA","NA","837061","NA","NA","837261","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","837587","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","831095","NA","NA","784252","NA","NA","NA","831095","NA","NA","NA","833594","NA","NA","5185","835902","NA","NA","829177","NA","NA","833594","NA","NA","833094","NA","NA","833902","NA","NA","5514","837588","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","831090","NA","NA","831084","NA","NA","831084","NA","NA","836039","NA","NA","Extended template","7","3195","8","831084","yes","42","invalid","3840"
"1","NA","1","3","SHAM","1","0","88.88888888888889","88.88888888888889","404.44444444444446","404.44444444444446","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","8","8","NA","NA","NA","NA","8","NA","NA","8","NA","NA","0","NA","NA","0","NA","NA","0","NA","8","NA","NA","0","0","NA","NA","0","NA","NA","NA","8","NA","NA","0","8","NA","NA","8","NA","NA","0","8","NA","NA","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","0","8","NA","NA","NA","NA","0","0","NA","NA","0","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","left","right","21","1080","501.806213999771","[0.01525937291990762, -3.74296455283239e-05, 3.4977991335360468]","328.3921530000953","490.6705579996924","469.6864329998789","legacy","None","0","1","T","","8","8","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","445","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","843870","5987","14","even","left","1","51","784252","5185","NA","NA","843870","844070","NA","NA","NA","NA","843869","NA","NA","844070","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","844315","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","837893","NA","NA","784252","NA","NA","NA","837894","NA","NA","NA","840393","NA","NA","5185","835902","NA","NA","842722","NA","NA","840393","NA","NA","839893","NA","NA","840722","NA","NA","5514","844316","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","837888","NA","NA","837883","NA","NA","837883","NA","NA","842849","NA","NA","Extended template","8","3640","9","837883","yes","41","valid","3840"
"1","NA","1","3","SHAM","1","0","90","90","399.1","399.1","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","9","9","NA","NA","NA","NA","9","NA","NA","9","NA","NA","0","NA","NA","0","NA","NA","0","NA","9","NA","NA","0","0","NA","NA","0","NA","NA","NA","9","NA","NA","0","9","NA","NA","9","NA","NA","0","9","NA","NA","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","0","9","NA","NA","NA","NA","0","0","NA","NA","0","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","Mon Nov 15 10:19:11 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","3","yes","mutual","left","right","21","1080","501.3915560002715","[-0.006031781108999164, -0.004729895458207778, 3.4986779467725038]","277.236286000516","511.68955899993307","479.7172970002066","legacy","None","0","2","","V","9","9","0","/home/docky/apps/exp/data/session3/subject-14c.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","351","NA","NA","NA","NA","NA","NA","778737","2","legacy","1000","1024","2","48000","-16","experiment","850556","5947","14","even","right","2","62","784252","5185","NA","NA","850556","850756","NA","NA","NA","NA","850556","NA","NA","850756","NA","NA","2000","784272","NA","NA","784272","NA","NA","784272","NA","850907","NA","NA","2000","NA","716","NA","NA","784269","NA","NA","NA","844619","NA","NA","784252","NA","NA","NA","844619","NA","NA","NA","847119","NA","NA","5185","835902","NA","NA","849397","NA","NA","847119","NA","NA","846619","NA","NA","847397","NA","NA","5514","850908","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","844614","NA","NA","844609","NA","NA","844609","NA","NA","849535","NA","NA","Extended template","9","3991","10","844609","yes","42","invalid","3840"
