"Blockno","Pause","RunBlock","Session","Site","TRIAL_VALID","USE_FACELANDMARKS","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","closing_eyes_invalid","color_backend","compensation","condTrig","coordinates","correct","correct_instructions","correct_response","count_CONDITIONS","count_CONFIG","count_LongBreak","count_LongBreak_1","count_RespTrig","count_RespTrig_1","count_RespTrig_1_1","count_RespTrig_1_2","count_RespTrig_2","count_RespTrig_3","count_StimPress","count_StimPress_1","count_StimPress_2","count_afterR","count_afterR_1","count_afterR_2","count_block_loop","count_block_loop_1","count_block_loop_2","count_block_sequence","count_block_sequence_1","count_block_sequence_2","count_blockno","count_blockno_1","count_check_res","count_check_res_1","count_check_res_2","count_end_of_experiment","count_experiment","count_experimental_loop_B","count_experimental_loop_post","count_experimental_loop_pre","count_feedback","count_feedback_1","count_feedback_2","count_fix","count_fix_1","count_fix_2","count_iKinGazeCtrl_CONFIG","count_icub_avoiding_gaze","count_icub_avoiding_gaze_1","count_icub_avoiding_gaze_2","count_icub_close_eyes","count_icub_close_eyes_1","count_icub_close_eyes_2","count_icub_end","count_icub_findLandmarks","count_icub_findLandmarks_1","count_icub_findLandmarks_2","count_icub_helper","count_icub_look_left","count_icub_look_left_1","count_icub_look_left_2","count_icub_look_right","count_icub_look_right_1","count_icub_look_right_2","count_icub_mutual_gaze","count_icub_mutual_gaze_1","count_icub_mutual_gaze_2","count_icub_open_eyes","count_icub_open_eyes_1","count_icub_open_eyes_2","count_icub_waitmutual_gaze","count_icub_waitmutual_gaze_1","count_icub_waitmutual_gaze_2","count_instructions","count_logger","count_logger_1","count_logger_2","count_new_form_multiple_choice","count_new_inline_script","count_notes","count_reset_feedback","count_reset_feedback_1","count_reset_feedback_2","count_session","count_site","count_start","count_start_1","count_start_2","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","count_trial_start","count_trial_start_1","count_trial_start_2","count_wait_soa","count_wait_soa_1","count_wait_soa_2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gazeCond","gazeDirO","gazeDirR","gazeDirTrig","height","icub_closing_eyes","icub_frontal_angles","icub_frontal_gaze_duration","icub_lateral_gaze_duration","icub_opening_eyes","keyboard_backend","landmarks","landmarks_valid","letterCode","letterL","letterR","live_row","live_row_block_loop","live_row_experimental_loop_pre","logfile","mouse_backend","opening_eyes_invalid","opensesame_codename","opensesame_version","repeat_cycle","response","response_LongBreak","response_LongBreak_1","response_end_of_experiment","response_feedback","response_feedback_1","response_feedback_2","response_instructions","response_time","response_time_LongBreak","response_time_LongBreak_1","response_time_end_of_experiment","response_time_feedback","response_time_feedback_1","response_time_feedback_2","response_time_instructions","round_decimals","sampler_backend","soa","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_time","stim_presentation_after","subject_nr","subject_parity","tgtPos","tgtPosCode","tgtTrig","time_CONDITIONS","time_CONFIG","time_LongBreak","time_LongBreak_1","time_RespTrig","time_RespTrig_1","time_RespTrig_1_1","time_RespTrig_1_2","time_RespTrig_2","time_RespTrig_3","time_StimPress","time_StimPress_1","time_StimPress_2","time_afterR","time_afterR_1","time_afterR_2","time_avoiding_gaze","time_block_loop","time_block_loop_1","time_block_loop_2","time_block_sequence","time_block_sequence_1","time_block_sequence_2","time_blockno","time_blockno_1","time_check_res","time_check_res_1","time_check_res_2","time_closing_eyes","time_end_of_experiment","time_experiment","time_experimental_loop_B","time_experimental_loop_post","time_experimental_loop_pre","time_feedback","time_feedback_1","time_feedback_2","time_fix","time_fix_1","time_fix_2","time_iKinGazeCtrl_CONFIG","time_icub_avoiding_gaze","time_icub_avoiding_gaze_1","time_icub_avoiding_gaze_2","time_icub_close_eyes","time_icub_close_eyes_1","time_icub_close_eyes_2","time_icub_end","time_icub_findLandmarks","time_icub_findLandmarks_1","time_icub_findLandmarks_2","time_icub_helper","time_icub_look_left","time_icub_look_left_1","time_icub_look_left_2","time_icub_look_right","time_icub_look_right_1","time_icub_look_right_2","time_icub_mutual_gaze","time_icub_mutual_gaze_1","time_icub_mutual_gaze_2","time_icub_open_eyes","time_icub_open_eyes_1","time_icub_open_eyes_2","time_icub_waitmutual_gaze","time_icub_waitmutual_gaze_1","time_icub_waitmutual_gaze_2","time_instructions","time_logger","time_logger_1","time_logger_2","time_mutual_gaze","time_new_form_multiple_choice","time_new_inline_script","time_notes","time_opening_eyes","time_reset_feedback","time_reset_feedback_1","time_reset_feedback_2","time_session","time_site","time_start","time_start_1","time_start_2","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","time_trial_start","time_trial_start_1","time_trial_start_2","time_wait_soa","time_wait_soa_1","time_wait_soa_2","title","total_correct","total_response_time","total_responses","trial_start_ts","uniform_coordinates","valTrig","validity","width"
"1","NA","1","2","SHAM","1","0","100","100","611","611","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","0","0","NA","NA","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.01206399995135","[0.007091094343629411, -23.97788486235013, 3.3786102846416073]","348.0432540018228","459.98283899825765","470.2139279979747","legacy","None","0","1","T","","0","0","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","611","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","456257","6030","19","odd","left","1","51","449932","3659","NA","NA","456256","456457","NA","NA","NA","NA","456256","NA","NA","456457","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","456868","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","450251","NA","NA","449932","452751","NA","NA","450251","NA","NA","NA","452751","NA","NA","3659","NA","NA","NA","455098","NA","NA","NA","NA","NA","452251","NA","NA","453098","NA","NA","4016","456869","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","450245","NA","NA","450226","NA","NA","450226","NA","NA","455235","NA","NA","Extended template","1","611","1","450226","yes","41","valid","3840"
"1","NA","1","2","SHAM","1","0","100","100","457","457","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","NA","NA","0","NA","NA","0","NA","NA","0","NA","1","NA","NA","0","0","NA","NA","0","NA","NA","NA","1","NA","NA","0","1","NA","NA","1","NA","NA","0","1","NA","NA","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","0","1","NA","NA","NA","NA","0","0","NA","NA","0","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","right","left","22","1080","501.0308519922546","[0.007091103746966697, -23.97787973815912, 3.3786102878851514]","317.0609119988512","490.9367950021988","469.81833500467474","legacy","None","0","1","T","","1","1","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","303","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","463213","5997","19","odd","left","1","51","449932","3659","NA","NA","463212","463413","NA","NA","NA","NA","463212","NA","NA","463413","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","463516","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","457226","NA","NA","449932","459727","NA","NA","457226","NA","NA","NA","459727","NA","NA","3659","462043","NA","NA","455098","NA","NA","NA","NA","NA","459226","NA","NA","460043","NA","NA","4016","463516","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","457221","NA","NA","457215","NA","NA","457215","NA","NA","462191","NA","NA","Extended template","2","914","2","457215","yes","42","invalid","3840"
"1","NA","1","2","SHAM","1","0","100","100","415.3333333333333","415.3333333333333","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","NA","0","NA","NA","0","NA","NA","0","NA","2","NA","NA","0","0","NA","NA","0","NA","NA","NA","2","NA","NA","0","2","NA","NA","2","NA","NA","0","2","NA","NA","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","0","2","NA","NA","NA","NA","0","0","NA","NA","0","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","500.89310300245415","[0.0008064399671521221, -23.97766675422178, 3.3781979868938983]","306.6226769951754","480.9962200015434","479.8781690042233","legacy","None","0","2","V","","2","2","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","332","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","469807","5987","19","odd","left","1","61","449932","3659","NA","NA","469807","470007","NA","NA","NA","NA","469806","NA","NA","470007","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","470139","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","463830","NA","NA","449932","466328","NA","NA","463830","NA","NA","NA","466328","NA","NA","3659","462043","NA","NA","468636","NA","NA","NA","NA","NA","465829","NA","NA","466636","NA","NA","4016","470140","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","463825","NA","NA","463819","NA","NA","463820","NA","NA","468784","NA","NA","Extended template","3","1246","3","463820","yes","41","valid","3840"
"1","NA","1","2","SHAM","1","0","100","100","370.75","370.75","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","3","3","NA","NA","NA","NA","3","NA","NA","3","NA","NA","0","NA","NA","0","NA","NA","0","NA","3","NA","NA","0","0","NA","NA","0","NA","NA","NA","3","NA","NA","0","3","NA","NA","3","NA","NA","0","3","NA","NA","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","0","3","NA","NA","NA","NA","0","0","NA","NA","0","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.58020600065356","[0.0008020072361677854, -23.999418058607358, 3.3781841406062805]","327.556080002978","459.913057005906","469.7151389991632","legacy","None","0","1","T","","3","3","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","237","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","476423","5977","19","odd","left","1","51","449932","3659","NA","NA","476423","476623","NA","NA","NA","NA","476422","NA","NA","476623","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","476660","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","470457","NA","NA","449932","472956","NA","NA","470457","NA","NA","NA","472956","NA","NA","3659","462043","NA","NA","475283","NA","NA","NA","NA","NA","472456","NA","NA","473283","NA","NA","4016","476661","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","470451","NA","NA","470446","NA","NA","470446","NA","NA","475400","NA","NA","Extended template","4","1483","4","470446","yes","41","valid","3840"
"1","NA","1","2","SHAM","1","0","100","100","377.2","377.2","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","4","4","NA","NA","NA","NA","4","NA","NA","4","NA","NA","0","NA","NA","0","NA","NA","0","NA","4","NA","NA","0","0","NA","NA","0","NA","NA","NA","4","NA","NA","0","4","NA","NA","4","NA","NA","0","4","NA","NA","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","0","4","NA","NA","NA","NA","0","0","NA","NA","0","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","right","left","22","1080","501.671484002145","[0.0008037644605172401, -23.990796193603412, 3.3781896269402782]","316.9069300056435","479.9114169945824","469.82215699972585","legacy","None","0","1","","T","4","4","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","403","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","482944","5985","19","odd","right","2","52","449932","3659","NA","NA","482944","483144","NA","NA","NA","NA","482943","NA","NA","483144","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","483347","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","476970","NA","NA","449932","479468","NA","NA","476970","NA","NA","NA","479468","NA","NA","3659","481785","NA","NA","475283","NA","NA","NA","NA","NA","478969","NA","NA","479785","NA","NA","4016","483348","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","476965","NA","NA","476959","NA","NA","476959","NA","NA","481922","NA","NA","Extended template","5","1886","5","476959","yes","41","valid","3840"
"1","NA","1","2","SHAM","1","0","100","100","366.6666666666667","366.6666666666667","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","NA","0","NA","NA","0","NA","NA","0","NA","5","NA","NA","0","0","NA","NA","0","NA","NA","NA","5","NA","NA","0","5","NA","NA","5","NA","NA","0","5","NA","NA","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","0","5","NA","NA","NA","NA","0","0","NA","NA","0","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","500.9001059952425","[0.007249352402027273, -23.98236403692936, 3.3781949715172233]","337.7788989964756","481.1170809989562","469.7932619965286","legacy","None","0","2","V","","5","5","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","314","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","489642","6007","19","odd","left","1","61","449932","3659","NA","NA","489642","489842","NA","NA","NA","NA","489641","NA","NA","489842","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","489956","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","483646","NA","NA","449932","486144","NA","NA","483646","NA","NA","NA","486144","NA","NA","3659","481785","NA","NA","488483","NA","NA","NA","NA","NA","485645","NA","NA","486483","NA","NA","4016","489957","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","483641","NA","NA","483635","NA","NA","483635","NA","NA","488621","NA","NA","Extended template","6","2200","6","483635","yes","41","valid","3840"
"1","NA","1","2","SHAM","1","0","85.71428571428571","85.71428571428571","361.7142857142857","361.7142857142857","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","0","undefined","v","0","0","NA","NA","6","6","NA","NA","NA","NA","6","NA","NA","6","NA","NA","0","NA","NA","0","NA","NA","0","NA","6","NA","NA","0","0","NA","NA","0","NA","NA","NA","6","NA","NA","0","6","NA","NA","6","NA","NA","0","6","NA","NA","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","0","6","NA","NA","NA","NA","0","0","NA","NA","0","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","right","left","22","1080","500.9855219977908","[0.0008041433112771488, -23.988937216472667, 3.378190810222397]","306.8160609982442","469.76690200244775","469.5189410049352","legacy","None","0","2","V","","6","6","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","332","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","496208","5965","19","odd","left","1","61","449932","3659","NA","NA","496207","496408","NA","NA","NA","NA","496207","NA","NA","496408","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","496540","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","490252","NA","NA","449932","492753","NA","NA","490252","NA","NA","NA","492753","NA","NA","3659","495059","NA","NA","488483","NA","NA","NA","NA","NA","492253","NA","NA","493059","NA","NA","4016","496541","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","490247","NA","NA","490242","NA","NA","490242","NA","NA","495186","NA","NA","Extended template","6","2532","7","490242","yes","42","invalid","3840"
"1","NA","1","2","SHAM","1","0","87.5","87.5","371.25","371.25","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","7","7","NA","NA","NA","NA","7","NA","NA","7","NA","NA","0","NA","NA","0","NA","NA","0","NA","7","NA","NA","0","0","NA","NA","0","NA","NA","NA","7","NA","NA","0","7","NA","NA","7","NA","NA","0","7","NA","NA","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","0","7","NA","NA","NA","NA","0","0","NA","NA","0","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.1011399910785","[0.007091096381945219, -23.97788375160435, 3.378610285344932]","347.86523500224575","480.7452599998214","470.4092300016782","legacy","None","0","1","","T","7","7","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","438","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","502853","6015","19","odd","right","2","52","449932","3659","NA","NA","502853","503053","NA","NA","NA","NA","502852","NA","NA","503053","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","503291","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","496848","NA","NA","449932","499345","NA","NA","496849","NA","NA","NA","499345","NA","NA","3659","495059","NA","NA","501694","NA","NA","NA","NA","NA","498847","NA","NA","499694","NA","NA","4016","503292","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","496843","NA","NA","496838","NA","NA","496838","NA","NA","501832","NA","NA","Extended template","7","2970","8","496838","yes","42","invalid","3840"
"1","NA","1","2","SHAM","1","0","77.77777777777777","77.77777777777777","371.44444444444446","371.44444444444446","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","0","undefined","t","0","0","NA","NA","8","8","NA","NA","NA","NA","8","NA","NA","8","NA","NA","0","NA","NA","0","NA","NA","0","NA","8","NA","NA","0","0","NA","NA","0","NA","NA","NA","8","NA","NA","0","8","NA","NA","8","NA","NA","0","8","NA","NA","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","0","8","NA","NA","NA","NA","0","0","NA","NA","0","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","right","left","22","1080","500.95345400768565","[0.0008026465084298484, -23.99628157385193, 3.378186136118599]","317.2158790039248","449.788432000787","470.19714699854376","legacy","None","0","1","T","","8","8","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","373","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","509567","5977","19","odd","left","1","51","449932","3659","NA","NA","509567","509767","NA","NA","NA","NA","509566","NA","NA","509767","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","509940","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","503600","NA","NA","449932","506097","NA","NA","503600","NA","NA","NA","506097","NA","NA","3659","508415","NA","NA","501694","NA","NA","NA","NA","NA","505599","NA","NA","506415","NA","NA","4016","509941","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","503595","NA","NA","503590","NA","NA","503590","NA","NA","508543","NA","NA","Extended template","7","3343","9","503590","yes","42","invalid","3840"
"1","NA","1","2","SHAM","1","0","80","80","371.4","371.4","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","9","9","NA","NA","NA","NA","9","NA","NA","9","NA","NA","0","NA","NA","0","NA","NA","0","NA","9","NA","NA","0","0","NA","NA","0","NA","NA","NA","9","NA","NA","0","9","NA","NA","9","NA","NA","0","9","NA","NA","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","0","9","NA","NA","NA","NA","0","0","NA","NA","0","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","Wed Nov 17 17:21:26 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","2","yes","avoiding","left","right","21","1080","501.9324329987285","[0.007091094291268364, -23.977884890883306, 3.3786102846235453]","347.91821699764114","480.55677999946056","459.8882970021805","legacy","None","0","1","","T","9","9","0","/home/docky/apps/exp/data/session2/subject-19.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","371","NA","NA","NA","NA","NA","NA","445916","2","legacy","1000","1024","2","48000","-16","experiment","516257","6020","19","odd","right","2","52","449932","3659","NA","NA","516257","516457","NA","NA","NA","NA","516256","NA","NA","516457","NA","NA","2000","449961","NA","NA","449961","NA","NA","449961","NA","516628","NA","NA","2000","NA","607","NA","NA","449958","NA","NA","NA","510248","NA","NA","449932","512750","NA","NA","510248","NA","NA","NA","512750","NA","NA","3659","508415","NA","NA","515097","NA","NA","NA","NA","NA","512249","NA","NA","513097","NA","NA","4016","516629","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","510242","NA","NA","510237","NA","NA","510237","NA","NA","515235","NA","NA","Extended template","8","3714","10","510237","yes","42","invalid","3840"
