"Blockno","Pause","RunBlock","Session","Site","TRIAL_VALID","USE_FACELANDMARKS","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","closing_eyes_invalid","color_backend","compensation","condTrig","coordinates","correct","correct_instructions","correct_response","count_CONDITIONS","count_CONFIG","count_LongBreak","count_LongBreak_1","count_RespTrig","count_RespTrig_1","count_RespTrig_1_1","count_RespTrig_1_2","count_RespTrig_2","count_RespTrig_3","count_StimPress","count_StimPress_1","count_StimPress_2","count_afterR","count_afterR_1","count_afterR_2","count_block_loop","count_block_loop_1","count_block_loop_2","count_block_sequence","count_block_sequence_1","count_block_sequence_2","count_blockno","count_blockno_1","count_check_res","count_check_res_1","count_check_res_2","count_end_of_experiment","count_experiment","count_experimental_loop_B","count_experimental_loop_post","count_experimental_loop_pre","count_feedback","count_feedback_1","count_feedback_2","count_fix","count_fix_1","count_fix_2","count_iKinGazeCtrl_CONFIG","count_icub_avoiding_gaze","count_icub_avoiding_gaze_1","count_icub_avoiding_gaze_2","count_icub_close_eyes","count_icub_close_eyes_1","count_icub_close_eyes_2","count_icub_end","count_icub_findLandmarks","count_icub_findLandmarks_1","count_icub_findLandmarks_2","count_icub_helper","count_icub_look_left","count_icub_look_left_1","count_icub_look_left_2","count_icub_look_right","count_icub_look_right_1","count_icub_look_right_2","count_icub_mutual_gaze","count_icub_mutual_gaze_1","count_icub_mutual_gaze_2","count_icub_open_eyes","count_icub_open_eyes_1","count_icub_open_eyes_2","count_icub_waitmutual_gaze","count_icub_waitmutual_gaze_1","count_icub_waitmutual_gaze_2","count_instructions","count_logger","count_logger_1","count_logger_2","count_new_form_multiple_choice","count_new_inline_script","count_notes","count_reset_feedback","count_reset_feedback_1","count_reset_feedback_2","count_session","count_site","count_start","count_start_1","count_start_2","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","count_trial_start","count_trial_start_1","count_trial_start_2","count_wait_soa","count_wait_soa_1","count_wait_soa_2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gazeCond","gazeDirO","gazeDirR","gazeDirTrig","height","icub_closing_eyes","icub_frontal_angles","icub_frontal_gaze_duration","icub_lateral_gaze_duration","icub_opening_eyes","keyboard_backend","landmarks","landmarks_valid","letterCode","letterL","letterR","live_row","live_row_block_loop","live_row_experimental_loop_pre","logfile","mouse_backend","opening_eyes_invalid","opensesame_codename","opensesame_version","repeat_cycle","response","response_LongBreak","response_LongBreak_1","response_end_of_experiment","response_feedback","response_feedback_1","response_feedback_2","response_instructions","response_time","response_time_LongBreak","response_time_LongBreak_1","response_time_end_of_experiment","response_time_feedback","response_time_feedback_1","response_time_feedback_2","response_time_instructions","round_decimals","sampler_backend","soa","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_time","stim_presentation_after","subject_nr","subject_parity","tgtPos","tgtPosCode","tgtTrig","time_CONDITIONS","time_CONFIG","time_LongBreak","time_LongBreak_1","time_RespTrig","time_RespTrig_1","time_RespTrig_1_1","time_RespTrig_1_2","time_RespTrig_2","time_RespTrig_3","time_StimPress","time_StimPress_1","time_StimPress_2","time_afterR","time_afterR_1","time_afterR_2","time_avoiding_gaze","time_block_loop","time_block_loop_1","time_block_loop_2","time_block_sequence","time_block_sequence_1","time_block_sequence_2","time_blockno","time_blockno_1","time_check_res","time_check_res_1","time_check_res_2","time_closing_eyes","time_end_of_experiment","time_experiment","time_experimental_loop_B","time_experimental_loop_post","time_experimental_loop_pre","time_feedback","time_feedback_1","time_feedback_2","time_fix","time_fix_1","time_fix_2","time_iKinGazeCtrl_CONFIG","time_icub_avoiding_gaze","time_icub_avoiding_gaze_1","time_icub_avoiding_gaze_2","time_icub_close_eyes","time_icub_close_eyes_1","time_icub_close_eyes_2","time_icub_end","time_icub_findLandmarks","time_icub_findLandmarks_1","time_icub_findLandmarks_2","time_icub_helper","time_icub_look_left","time_icub_look_left_1","time_icub_look_left_2","time_icub_look_right","time_icub_look_right_1","time_icub_look_right_2","time_icub_mutual_gaze","time_icub_mutual_gaze_1","time_icub_mutual_gaze_2","time_icub_open_eyes","time_icub_open_eyes_1","time_icub_open_eyes_2","time_icub_waitmutual_gaze","time_icub_waitmutual_gaze_1","time_icub_waitmutual_gaze_2","time_instructions","time_logger","time_logger_1","time_logger_2","time_mutual_gaze","time_new_form_multiple_choice","time_new_inline_script","time_notes","time_opening_eyes","time_reset_feedback","time_reset_feedback_1","time_reset_feedback_2","time_session","time_site","time_start","time_start_1","time_start_2","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","time_trial_start","time_trial_start_1","time_trial_start_2","time_wait_soa","time_wait_soa_1","time_wait_soa_2","title","total_correct","total_response_time","total_responses","trial_start_ts","uniform_coordinates","valTrig","validity","width"
"1","NA","1","1","TPJ","1","0","100","100","528","528","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","0","0","NA","NA","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.411539997207","[-0.013463444000062084, -0.00028013596584956985, 3.497799153067904]","287.0473710063379","510.8829750097357","479.61955500068143","legacy","None","0","2","","V","0","0","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","528","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","22439","5966","26","even","right","2","62","16182","7482","NA","NA","22439","22639","NA","NA","NA","NA","22438","NA","NA","22639","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","22967","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","16483","NA","NA","16182","NA","NA","NA","16483","NA","NA","NA","18984","NA","NA","7482","NA","NA","NA","21271","NA","NA","18984","NA","NA","18483","NA","NA","19270","NA","NA","7847","22967","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","16478","NA","NA","16473","NA","NA","16473","NA","NA","21419","NA","NA","Extended template","1","528","1","16473","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","495","495","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","NA","NA","0","NA","NA","0","NA","NA","0","NA","1","NA","NA","0","0","NA","NA","0","NA","NA","NA","1","NA","NA","0","1","NA","NA","1","NA","NA","0","1","NA","NA","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","0","1","NA","NA","NA","NA","0","0","NA","NA","0","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.4584839809686","[-0.013542927716588122, 0.0273541667568031, 3.4977997483479135]","287.7973720023874","510.6225110066589","469.87355398596264","legacy","None","0","2","V","","1","1","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","462","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","29272","5969","26","even","left","1","61","16182","7482","NA","NA","29272","29472","NA","NA","NA","NA","29271","NA","NA","29472","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","29734","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","23314","NA","NA","16182","NA","NA","NA","23314","NA","NA","NA","25814","NA","NA","7482","28102","NA","NA","21271","NA","NA","25814","NA","NA","25314","NA","NA","26102","NA","NA","7847","29734","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","23309","NA","NA","23303","NA","NA","23303","NA","NA","28250","NA","NA","Extended template","2","990","2","23303","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","477.6666666666667","477.6666666666667","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","NA","0","NA","NA","0","NA","NA","0","NA","2","NA","NA","0","0","NA","NA","0","NA","NA","NA","2","NA","NA","0","2","NA","NA","2","NA","NA","0","2","NA","NA","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","0","2","NA","NA","NA","NA","0","0","NA","NA","0","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.2540130119305","[-0.006280349730849224, -0.0022003188506010823, 3.49779917977781]","308.1224179768469","500.8142490114551","470.1362979831174","legacy","None","0","1","","T","2","2","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","443","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","36011","5965","26","even","right","2","52","16182","7482","NA","NA","36011","36211","NA","NA","NA","NA","36011","NA","NA","36211","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","36454","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","30056","NA","NA","16182","NA","NA","NA","30057","NA","NA","NA","32555","NA","NA","7482","34863","NA","NA","21271","NA","NA","32555","NA","NA","32056","NA","NA","32863","NA","NA","7847","36454","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","30051","NA","NA","30046","NA","NA","30046","NA","NA","34991","NA","NA","Extended template","3","1433","3","30046","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","489.5","489.5","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","3","3","NA","NA","NA","NA","3","NA","NA","3","NA","NA","0","NA","NA","0","NA","NA","0","NA","3","NA","NA","0","0","NA","NA","0","NA","NA","NA","3","NA","NA","0","3","NA","NA","3","NA","NA","0","3","NA","NA","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","0","3","NA","NA","NA","NA","0","0","NA","NA","0","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.22509701759554","[0.0008812025130492813, 0.005734055282179187, 3.4982384802518984]","287.5900549988728","521.9702180183958","469.910282001365","legacy","None","0","1","","T","3","3","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","525","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","42721","5969","26","even","right","2","52","16182","7482","NA","NA","42721","42920","NA","NA","NA","NA","42721","NA","NA","42920","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","43246","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","36763","NA","NA","16182","NA","NA","NA","36763","NA","NA","NA","39262","NA","NA","7482","34863","NA","NA","41550","NA","NA","39262","NA","NA","38762","NA","NA","39550","NA","NA","7847","43246","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","36758","NA","NA","36752","NA","NA","36752","NA","NA","41700","NA","NA","Extended template","4","1958","4","36752","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","494","494","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","4","4","NA","NA","NA","NA","4","NA","NA","4","NA","NA","0","NA","NA","0","NA","NA","0","NA","4","NA","NA","0","0","NA","NA","0","NA","NA","NA","4","NA","NA","0","4","NA","NA","4","NA","NA","0","4","NA","NA","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","0","4","NA","NA","NA","NA","0","0","NA","NA","0","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","500.90257098781876","[-0.01372610184045264, -0.0002713037915853144, 3.4973605238476675]","277.62952097691596","510.97196200862527","469.67780802515335","legacy","None","0","1","T","","4","4","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","512","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","49510","5948","26","even","left","1","51","16182","7482","NA","NA","49510","49710","NA","NA","NA","NA","49510","NA","NA","49710","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","50022","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","43573","NA","NA","16182","NA","NA","NA","43573","NA","NA","NA","46073","NA","NA","7482","34863","NA","NA","48351","NA","NA","46073","NA","NA","45573","NA","NA","46351","NA","NA","7847","50022","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","43567","NA","NA","43562","NA","NA","43562","NA","NA","48489","NA","NA","Extended template","5","2470","5","43562","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","504.3333333333333","504.3333333333333","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","NA","0","NA","NA","0","NA","NA","0","NA","5","NA","NA","0","0","NA","NA","0","NA","NA","NA","5","NA","NA","0","5","NA","NA","5","NA","NA","0","5","NA","NA","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","0","5","NA","NA","NA","NA","0","0","NA","NA","0","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.35969699476846","[-0.006335566128109561, 0.0389364157349905, 3.4978000666485713]","287.62201900826767","501.3023220235482","469.8495049960911","legacy","None","0","2","V","","5","5","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","556","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","56274","5959","26","even","left","1","61","16182","7482","NA","NA","56274","56474","NA","NA","NA","NA","56274","NA","NA","56474","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","56830","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","50325","NA","NA","16182","NA","NA","NA","50326","NA","NA","NA","52825","NA","NA","7482","34863","NA","NA","55113","NA","NA","52825","NA","NA","52325","NA","NA","53113","NA","NA","7847","56830","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","50320","NA","NA","50315","NA","NA","50315","NA","NA","55253","NA","NA","Extended template","6","3026","6","50315","yes","41","valid","3840"
"1","NA","1","1","TPJ","0","0","100","100","510","510","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","6","6","NA","NA","NA","NA","6","NA","NA","6","NA","NA","0","NA","NA","0","NA","NA","0","NA","6","NA","NA","0","0","NA","NA","0","NA","NA","NA","6","NA","NA","0","6","NA","NA","6","NA","NA","0","6","NA","NA","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","0","6","NA","NA","NA","NA","0","0","NA","NA","0","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.5308159927372","[-0.006283307190641238, 3.072249120818434e-06, 3.4977992272519587]","277.53238898003474","1022.459962987341","469.7049639944453","legacy","None","0","2","V","","6","6","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","544","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","63078","5959","26","even","left","1","61","16182","7482","NA","NA","63078","63278","NA","NA","NA","NA","63078","NA","NA","63278","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","63622","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","57129","NA","NA","16182","NA","NA","NA","57129","NA","NA","NA","59629","NA","NA","7482","61907","NA","NA","55113","NA","NA","59629","NA","NA","59129","NA","NA","59907","NA","NA","7847","63622","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","57124","NA","NA","57119","NA","NA","57119","NA","NA","62056","NA","NA","Extended template","7","3570","7","57119","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","502.5","502.5","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","7","7","NA","NA","NA","NA","7","NA","NA","7","NA","NA","0","NA","NA","0","NA","NA","0","NA","7","NA","NA","0","0","NA","NA","0","NA","NA","NA","7","NA","NA","0","7","NA","NA","7","NA","NA","0","7","NA","NA","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","0","7","NA","NA","NA","NA","0","0","NA","NA","0","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.1635420087259","[-0.006283306578963609, 2.616532331864079e-06, 3.4977992272421394]","297.6890669960994","490.9555669873953","469.89239801769145","legacy","None","0","2","V","","7","7","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","450","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","69868","5958","26","even","left","1","61","16182","7482","NA","NA","69868","70068","NA","NA","NA","NA","69868","NA","NA","70068","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","70318","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","63921","NA","NA","16182","NA","NA","NA","63921","NA","NA","NA","66420","NA","NA","7482","61907","NA","NA","68718","NA","NA","66420","NA","NA","65920","NA","NA","66718","NA","NA","7847","70318","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","63916","NA","NA","63910","NA","NA","63910","NA","NA","68845","NA","NA","Extended template","8","4020","8","63910","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","503.22222222222223","503.22222222222223","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","8","8","NA","NA","NA","NA","8","NA","NA","8","NA","NA","0","NA","NA","0","NA","NA","0","NA","8","NA","NA","0","0","NA","NA","0","NA","NA","NA","8","NA","NA","0","8","NA","NA","8","NA","NA","0","8","NA","NA","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","0","8","NA","NA","NA","NA","0","0","NA","NA","0","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","500.9869660134427","[-0.013726787449812315, -3.293020986893597e-05, 3.4973605300154342]","277.4333629931789","501.50080799357966","469.78010900784284","legacy","None","0","1","T","","8","8","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","509","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","76569","5949","26","even","left","1","51","16182","7482","NA","NA","76569","76769","NA","NA","NA","NA","76569","NA","NA","76769","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","77078","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","70631","NA","NA","16182","NA","NA","NA","70631","NA","NA","NA","73131","NA","NA","7482","75409","NA","NA","68718","NA","NA","73131","NA","NA","72631","NA","NA","73409","NA","NA","7847","77078","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","70626","NA","NA","70620","NA","NA","70620","NA","NA","75547","NA","NA","Extended template","9","4529","9","70620","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","490.7","490.7","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","9","9","NA","NA","NA","NA","9","NA","NA","9","NA","NA","0","NA","NA","0","NA","NA","0","NA","9","NA","NA","0","0","NA","NA","0","NA","NA","NA","9","NA","NA","0","9","NA","NA","9","NA","NA","0","9","NA","NA","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","0","9","NA","NA","NA","NA","0","0","NA","NA","0","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","Mon Nov 22 12:58:02 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.46949698682874","[-0.013586945927144102, -0.04865472889814586, 3.4973592729031044]","298.0955720122438","490.08861399488524","469.6899919945281","legacy","None","0","2","","V","9","9","0","/home/docky/apps/exp/data/session1/subject-26_2.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","378","NA","NA","NA","NA","NA","NA","8335","2","legacy","1000","1024","2","48000","-16","experiment","83340","5956","26","even","right","2","62","16182","7482","NA","NA","83340","83540","NA","NA","NA","NA","83340","NA","NA","83540","NA","NA","2000","16209","NA","NA","16209","NA","NA","16209","NA","83718","NA","NA","2000","NA","701","NA","NA","16206","NA","NA","NA","77394","NA","NA","16182","NA","NA","NA","77394","NA","NA","NA","79893","NA","NA","7482","82191","NA","NA","68718","NA","NA","79893","NA","NA","79393","NA","NA","80191","NA","NA","7847","83718","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","77389","NA","NA","77384","NA","NA","77384","NA","NA","82318","NA","NA","Extended template","10","4907","10","77384","yes","41","valid","3840"
