"Blockno","Pause","RunBlock","Session","Site","TRIAL_VALID","USE_FACELANDMARKS","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","closing_eyes_invalid","color_backend","compensation","condTrig","coordinates","correct","correct_instructions","correct_response","count_CONDITIONS","count_CONFIG","count_LongBreak","count_LongBreak_1","count_RespTrig","count_RespTrig_1","count_RespTrig_1_1","count_RespTrig_1_2","count_RespTrig_2","count_RespTrig_3","count_StimPress","count_StimPress_1","count_StimPress_2","count_afterR","count_afterR_1","count_afterR_2","count_block_loop","count_block_loop_1","count_block_loop_2","count_block_sequence","count_block_sequence_1","count_block_sequence_2","count_blockno","count_blockno_1","count_check_res","count_check_res_1","count_check_res_2","count_end_of_experiment","count_experiment","count_experimental_loop_B","count_experimental_loop_post","count_experimental_loop_pre","count_feedback","count_feedback_1","count_feedback_2","count_fix","count_fix_1","count_fix_2","count_iKinGazeCtrl_CONFIG","count_icub_avoiding_gaze","count_icub_avoiding_gaze_1","count_icub_avoiding_gaze_2","count_icub_close_eyes","count_icub_close_eyes_1","count_icub_close_eyes_2","count_icub_end","count_icub_findLandmarks","count_icub_findLandmarks_1","count_icub_findLandmarks_2","count_icub_helper","count_icub_look_left","count_icub_look_left_1","count_icub_look_left_2","count_icub_look_right","count_icub_look_right_1","count_icub_look_right_2","count_icub_mutual_gaze","count_icub_mutual_gaze_1","count_icub_mutual_gaze_2","count_icub_open_eyes","count_icub_open_eyes_1","count_icub_open_eyes_2","count_icub_waitmutual_gaze","count_icub_waitmutual_gaze_1","count_icub_waitmutual_gaze_2","count_instructions","count_logger","count_logger_1","count_logger_2","count_new_form_multiple_choice","count_new_inline_script","count_notes","count_reset_feedback","count_reset_feedback_1","count_reset_feedback_2","count_session","count_site","count_start","count_start_1","count_start_2","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","count_trial_start","count_trial_start_1","count_trial_start_2","count_wait_soa","count_wait_soa_1","count_wait_soa_2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gazeCond","gazeDirO","gazeDirR","gazeDirTrig","height","icub_closing_eyes","icub_frontal_angles","icub_frontal_gaze_duration","icub_lateral_gaze_duration","icub_opening_eyes","keyboard_backend","landmarks","landmarks_valid","letterCode","letterL","letterR","live_row","live_row_block_loop","live_row_experimental_loop_pre","logfile","mouse_backend","opening_eyes_invalid","opensesame_codename","opensesame_version","repeat_cycle","response","response_LongBreak","response_LongBreak_1","response_end_of_experiment","response_feedback","response_feedback_1","response_feedback_2","response_instructions","response_time","response_time_LongBreak","response_time_LongBreak_1","response_time_end_of_experiment","response_time_feedback","response_time_feedback_1","response_time_feedback_2","response_time_instructions","round_decimals","sampler_backend","soa","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_time","stim_presentation_after","subject_nr","subject_parity","tgtPos","tgtPosCode","tgtTrig","time_CONDITIONS","time_CONFIG","time_LongBreak","time_LongBreak_1","time_RespTrig","time_RespTrig_1","time_RespTrig_1_1","time_RespTrig_1_2","time_RespTrig_2","time_RespTrig_3","time_StimPress","time_StimPress_1","time_StimPress_2","time_afterR","time_afterR_1","time_afterR_2","time_avoiding_gaze","time_block_loop","time_block_loop_1","time_block_loop_2","time_block_sequence","time_block_sequence_1","time_block_sequence_2","time_blockno","time_blockno_1","time_check_res","time_check_res_1","time_check_res_2","time_closing_eyes","time_end_of_experiment","time_experiment","time_experimental_loop_B","time_experimental_loop_post","time_experimental_loop_pre","time_feedback","time_feedback_1","time_feedback_2","time_fix","time_fix_1","time_fix_2","time_iKinGazeCtrl_CONFIG","time_icub_avoiding_gaze","time_icub_avoiding_gaze_1","time_icub_avoiding_gaze_2","time_icub_close_eyes","time_icub_close_eyes_1","time_icub_close_eyes_2","time_icub_end","time_icub_findLandmarks","time_icub_findLandmarks_1","time_icub_findLandmarks_2","time_icub_helper","time_icub_look_left","time_icub_look_left_1","time_icub_look_left_2","time_icub_look_right","time_icub_look_right_1","time_icub_look_right_2","time_icub_mutual_gaze","time_icub_mutual_gaze_1","time_icub_mutual_gaze_2","time_icub_open_eyes","time_icub_open_eyes_1","time_icub_open_eyes_2","time_icub_waitmutual_gaze","time_icub_waitmutual_gaze_1","time_icub_waitmutual_gaze_2","time_instructions","time_logger","time_logger_1","time_logger_2","time_mutual_gaze","time_new_form_multiple_choice","time_new_inline_script","time_notes","time_opening_eyes","time_reset_feedback","time_reset_feedback_1","time_reset_feedback_2","time_session","time_site","time_start","time_start_1","time_start_2","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","time_trial_start","time_trial_start_1","time_trial_start_2","time_wait_soa","time_wait_soa_1","time_wait_soa_2","title","total_correct","total_response_time","total_responses","trial_start_ts","uniform_coordinates","valTrig","validity","width"
"1","NA","1","1","TPJ","1","0","100","100","652","652","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","0","0","NA","NA","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","NA","0","NA","NA","0","0","NA","NA","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","0","0","NA","NA","NA","NA","0","0","NA","NA","0","0","0","NA","NA","0","NA","NA","0","NA","NA","0","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.1383199998818","[0.0008801029714439156, -2.151154454727651e-07, 3.498238381503665]","276.3718410005822","480.41121100141027","480.005005001658","legacy","None","0","1","T","","0","0","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","652","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","18876","5946","0","even","left","1","51","12648","5076","NA","NA","18876","19076","NA","NA","NA","NA","18876","NA","NA","19076","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","19528","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","12941","NA","NA","12648","NA","NA","NA","12941","NA","NA","NA","15439","NA","NA","5077","NA","NA","NA","17716","NA","NA","15439","NA","NA","14940","NA","NA","15715","NA","NA","5298","19529","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","12936","NA","NA","12930","NA","NA","12930","NA","NA","17854","NA","NA","Extended template","1","652","1","12930","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","590","590","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","1","NA","NA","0","NA","NA","0","NA","NA","0","NA","1","NA","NA","0","0","NA","NA","0","NA","NA","NA","1","NA","NA","0","1","NA","NA","1","NA","NA","0","1","NA","NA","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","0","1","NA","NA","NA","NA","0","0","NA","NA","0","0","1","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.4283370019257","[0.008156776768610886, 0.0453366720919623, 3.497800192234487]","267.42344000012963","459.9375939997117","479.81017800157133","legacy","None","0","1","T","","1","1","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","528","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","25824","5937","0","even","left","1","51","12648","5076","NA","NA","25823","26024","NA","NA","NA","NA","25823","NA","NA","26024","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","26352","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","19897","NA","NA","12648","NA","NA","NA","19897","NA","NA","NA","22397","NA","NA","5077","NA","NA","NA","24665","NA","NA","22397","NA","NA","21897","NA","NA","22665","NA","NA","5298","26353","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","19892","NA","NA","19887","NA","NA","19887","NA","NA","24803","NA","NA","Extended template","2","1180","2","19887","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","595.3333333333334","595.3333333333334","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","2","2","NA","NA","NA","NA","2","NA","NA","2","NA","NA","0","NA","NA","0","NA","NA","0","NA","2","NA","NA","0","0","NA","NA","0","NA","NA","NA","2","NA","NA","0","2","NA","NA","2","NA","NA","0","2","NA","NA","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","0","2","NA","NA","NA","NA","0","0","NA","NA","0","0","2","NA","NA","2","NA","NA","2","NA","NA","2","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.116004999858","[0.0008872011447152073, 0.037017044421107634, 3.4982390192784774]","277.61299299891107","419.1651289984293","480.1476270004059","legacy","None","0","1","","T","2","2","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","606","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","32593","5923","0","even","right","2","52","12648","5076","NA","NA","32593","32793","NA","NA","NA","NA","32593","NA","NA","32793","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","33199","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","26681","NA","NA","12648","NA","NA","NA","26681","NA","NA","NA","29177","NA","NA","5077","31456","NA","NA","24665","NA","NA","29177","NA","NA","28679","NA","NA","29456","NA","NA","5298","33200","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","26675","NA","NA","26670","NA","NA","26670","NA","NA","31572","NA","NA","Extended template","3","1786","3","26670","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","609.75","609.75","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","3","3","NA","NA","NA","NA","3","NA","NA","3","NA","NA","0","NA","NA","0","NA","NA","0","NA","3","NA","NA","0","0","NA","NA","0","NA","NA","NA","3","NA","NA","0","3","NA","NA","3","NA","NA","0","3","NA","NA","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","0","3","NA","NA","NA","NA","0","0","NA","NA","0","0","3","NA","NA","3","NA","NA","3","NA","NA","3","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.09312599852274","[0.015557046119353416, -3.0410957214490497e-05, 3.497360504846472]","288.1760129985196","419.7038429992972","469.8713090001547","legacy","None","0","2","V","","3","3","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","653","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","39458","5948","0","even","left","1","61","12648","5076","NA","NA","39458","39658","NA","NA","NA","NA","39458","NA","NA","39658","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","40111","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","33521","NA","NA","12648","NA","NA","NA","33521","NA","NA","NA","36019","NA","NA","5077","38307","NA","NA","24665","NA","NA","36019","NA","NA","35519","NA","NA","36307","NA","NA","5298","40112","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","33515","NA","NA","33510","NA","NA","33510","NA","NA","38435","NA","NA","Extended template","4","2439","4","33510","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","599.8","599.8","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","4","4","NA","NA","NA","NA","4","NA","NA","4","NA","NA","0","NA","NA","0","NA","NA","0","NA","4","NA","NA","0","0","NA","NA","0","NA","NA","NA","4","NA","NA","0","4","NA","NA","4","NA","NA","0","4","NA","NA","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","0","4","NA","NA","NA","NA","0","0","NA","NA","0","0","4","NA","NA","4","NA","NA","4","NA","NA","4","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","500.8714890009287","[0.007920933161592878, -9.703092930857388e-07, 3.498238351138599]","287.55979299967294","470.6020960002206","479.92540700033715","legacy","None","0","2","","V","4","4","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","560","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","46384","5958","0","even","right","2","62","12648","5076","NA","NA","46384","46584","NA","NA","NA","NA","46383","NA","NA","46584","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","46944","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","40437","NA","NA","12648","NA","NA","NA","40437","NA","NA","NA","42937","NA","NA","5077","38307","NA","NA","45224","NA","NA","42937","NA","NA","42437","NA","NA","43224","NA","NA","5298","46945","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","40431","NA","NA","40426","NA","NA","40426","NA","NA","45363","NA","NA","Extended template","5","2999","5","40426","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","580.6666666666666","580.6666666666666","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","NA","0","NA","NA","0","NA","NA","0","NA","5","NA","NA","0","0","NA","NA","0","NA","NA","NA","5","NA","NA","0","5","NA","NA","5","NA","NA","0","5","NA","NA","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","0","5","NA","NA","NA","NA","0","0","NA","NA","0","0","5","NA","NA","5","NA","NA","5","NA","NA","5","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.2614229999599","[0.0008801030537039291, 2.138857672184824e-07, 3.4982383815114693]","267.35939100035466","480.14852900087135","470.7568860012543","legacy","None","0","2","V","","5","5","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","485","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","53179","5929","0","even","left","1","61","12648","5076","NA","NA","53179","53379","NA","NA","NA","NA","53179","NA","NA","53379","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","53664","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","47261","NA","NA","12648","NA","NA","NA","47261","NA","NA","NA","49762","NA","NA","5077","38307","NA","NA","52029","NA","NA","49762","NA","NA","49261","NA","NA","50029","NA","NA","5298","53665","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","47255","NA","NA","47250","NA","NA","47250","NA","NA","52156","NA","NA","Extended template","6","3484","6","47250","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","580.4285714285714","580.4285714285714","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","6","6","NA","NA","NA","NA","6","NA","NA","6","NA","NA","0","NA","NA","0","NA","NA","0","NA","6","NA","NA","0","0","NA","NA","0","NA","NA","NA","6","NA","NA","0","6","NA","NA","6","NA","NA","0","6","NA","NA","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","0","6","NA","NA","NA","NA","0","0","NA","NA","0","0","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.04620899946894","[0.008140559768864943, 0.03593998079901431, 3.4977999895357]","277.25895199910155","460.1554450000549","469.98740900016855","legacy","None","0","1","T","","6","6","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","579","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","59917","5937","0","even","left","1","51","12648","5076","NA","NA","59917","60117","NA","NA","NA","NA","59916","NA","NA","60116","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","60496","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","53991","NA","NA","12648","NA","NA","NA","53991","NA","NA","NA","56491","NA","NA","5077","58769","NA","NA","52029","NA","NA","56491","NA","NA","55991","NA","NA","56769","NA","NA","5298","60497","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","53985","NA","NA","53980","NA","NA","53980","NA","NA","58896","NA","NA","Extended template","7","4063","7","53980","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","588","588","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","7","7","NA","NA","NA","NA","7","NA","NA","7","NA","NA","0","NA","NA","0","NA","NA","0","NA","7","NA","NA","0","0","NA","NA","0","NA","NA","NA","7","NA","NA","0","7","NA","NA","7","NA","NA","0","7","NA","NA","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","0","7","NA","NA","NA","NA","0","0","NA","NA","0","0","7","NA","NA","7","NA","NA","7","NA","NA","7","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","left","right","21","1080","501.0741429996415","[0.0008801038690862638, 4.466238176035824e-06, 3.4982383815846916]","308.326885000497","470.8337580013904","469.33468700080994","legacy","None","0","1","","T","7","7","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","641","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","66783","5967","0","even","right","2","52","12648","5076","NA","NA","66783","66982","NA","NA","NA","NA","66782","NA","NA","66982","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","67424","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","60827","NA","NA","12648","NA","NA","NA","60827","NA","NA","NA","63325","NA","NA","5077","58769","NA","NA","65634","NA","NA","63325","NA","NA","62827","NA","NA","63634","NA","NA","5298","67425","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","60822","NA","NA","60816","NA","NA","60816","NA","NA","65762","NA","NA","Extended template","8","4704","8","60816","yes","42","invalid","3840"
"1","NA","1","1","TPJ","1","0","100","100","586.6666666666666","586.6666666666666","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","v","0","0","NA","NA","8","8","NA","NA","NA","NA","8","NA","NA","8","NA","NA","0","NA","NA","0","NA","NA","0","NA","8","NA","NA","0","0","NA","NA","0","NA","NA","NA","8","NA","NA","0","8","NA","NA","8","NA","NA","0","8","NA","NA","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","0","8","NA","NA","NA","NA","0","0","NA","NA","0","0","8","NA","NA","8","NA","NA","8","NA","NA","8","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.47010199907527","[0.007920929555710646, -3.059781922814381e-06, 3.498238351102424]","277.0778739995876","450.2890710009524","480.3152919994318","legacy","None","0","2","","V","8","8","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","v","NA","NA","NA","NA","NA","NA","space","576","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","73663","5925","0","even","right","2","62","12648","5076","NA","NA","73663","73863","NA","NA","NA","NA","73662","NA","NA","73863","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","74239","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","67749","NA","NA","12648","NA","NA","NA","67749","NA","NA","NA","70245","NA","NA","5077","72524","NA","NA","65634","NA","NA","70245","NA","NA","69747","NA","NA","70523","NA","NA","5298","74240","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","67744","NA","NA","67738","NA","NA","67738","NA","NA","72640","NA","NA","Extended template","9","5280","9","67738","yes","41","valid","3840"
"1","NA","1","1","TPJ","1","0","100","100","577.3","577.3","#9b9b9b","yes","legacy","legacy","0","legacy","0","NA","uniform","1","undefined","t","0","0","NA","NA","9","9","NA","NA","NA","NA","9","NA","NA","9","NA","NA","0","NA","NA","0","NA","NA","0","NA","9","NA","NA","0","0","NA","NA","0","NA","NA","NA","9","NA","NA","0","9","NA","NA","9","NA","NA","0","9","NA","NA","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","0","9","NA","NA","NA","NA","0","0","NA","NA","0","0","9","NA","NA","9","NA","NA","9","NA","NA","9","NA","NA","Fri Nov  5 18:14:00 2021","A template containing a practice and an experimental phase","yes","GCAlfie.osexp","/home/docky/apps/exp","no","serif","no","34","no","#000000","no","1","yes","mutual","right","left","22","1080","501.47283600017545","[0.015280423763363695, 0.006420416395721677, 3.4977992725680687]","277.4667820012837","449.3601599988324","480.15152100015257","legacy","None","0","1","","T","9","9","0","/home/docky/apps/exp/subject-0.csv","legacy","0","Lentiform Loewenfeld","3.3.9b1","0","t","NA","NA","NA","NA","NA","NA","space","493","NA","NA","NA","NA","NA","NA","7350","2","legacy","1000","1024","2","48000","-16","experiment","80491","5935","0","even","right","2","52","12648","5076","NA","NA","80491","80691","NA","NA","NA","NA","80490","NA","NA","80691","NA","NA","2000","12670","NA","NA","12670","NA","NA","12670","NA","80984","NA","NA","2000","NA","590","NA","NA","12666","NA","NA","NA","74567","NA","NA","12648","NA","NA","NA","74567","NA","NA","NA","77063","NA","NA","5077","79342","NA","NA","65634","NA","NA","77063","NA","NA","76565","NA","NA","77342","NA","NA","5298","80985","NA","NA","2000","NA","NA","NA","500","NA","NA","NA","NA","NA","74562","NA","NA","74556","NA","NA","74556","NA","NA","79469","NA","NA","Extended template","10","5773","10","74556","yes","41","valid","3840"
